ma_hop_dong,nhom,mo_ta,vi_tri_source,occurrence,trang_thai,pham_vi,me,ghi_chu
mow.propose.quick.overlay,GIAO DIỆN,Lớp nền mở góp ý nhanh,mow-unified-canvas-v2.html,0..1,BUILT,RIENG_MOW,MOW,Mở khi bấm Góp ý hoặc biểu tượng của ô
mow.propose.quick.form,GIAO DIỆN,Khung góp ý một dòng,mow-unified-canvas-v2.html,1,BUILT,RIENG_MOW,MOW,Không có trường phân tầng hay sửa cấu trúc
mow.propose.quick.header,GIAO DIỆN,Tiêu đề và hướng dẫn ngắn,mow-unified-canvas-v2.html,1,BUILT,RIENG_MOW,MOW,
mow.propose.quick.close,HÀNH VI,Đóng khung góp ý,mow-unified-canvas-v2.html,1,BUILT,RIENG_MOW,MOW,Không gửi dữ liệu
mow.propose.quick.context,DỮ LIỆU,Bối cảnh hệ tự gắn,mow-unified-canvas-v2.html,1,BUILT,RIENG_MOW,MOW,Tầng ô task run và bản ghi nếu có
mow.propose.quick.text,DỮ LIỆU,Một dòng góp ý của người làm,mow-unified-canvas-v2.html,1,BUILT,RIENG_MOW,MOW,Trường duy nhất người dùng phải nhập
mow.propose.quick.status,GIAO DIỆN,Kết quả ghi nhận và trạng thái demo,mow-unified-canvas-v2.html,1,BUILT,RIENG_MOW,MOW,Nói rõ chưa ghi PostgreSQL
mow.propose.quick.cancel,HÀNH VI,Đóng khung mà không gửi,mow-unified-canvas-v2.html,1,BUILT,RIENG_MOW,MOW,
mow.propose.quick.submit,HÀNH VI,Gửi một dòng góp ý,mow-unified-canvas-v2.html,1,BUILT,RIENG_MOW,MOW,Tạo event IMPROVEMENT_SUGGESTION_QUEUED trong demo
mow.propose.quick.reopen,HÀNH VI,Mở lại khung góp ý từ banner,mow-unified-canvas-v2.html,1,BUILT,RIENG_MOW,MOW,Mỗi lần gửi là một dòng mới
mow.propose.advanced.open,HÀNH VI,Mở bản đề xuất cải tiến nâng cao,mow-unified-canvas-v2.html,1,BUILT,RIENG_MOW,MOW,Mở riêng từ khung góp ý; nạp mvx v5
